origem_id,destino_id,tempo_seg,distancia_km,nome_origem,nome_destino,linha_origem
133.557,133.607,159,1.493,Раменки,Мичуринский проспект,1
137.922,137.923,106,0.877,Генерала Тюленева,Тютчевская,1
1.505,1.513,237,2.397,Тропарево,Румянцево,1
4.136,4.48,131,1.172,Студенческая,Киевская,1
95.540,95.541,144,1.313,Зорге,Панфиловская,1
7.124,7.16,163,1.542,Пушкинская,Баррикадная,1
97.821,97.822,138,1.244,Марьина Роща,Рижская,1
6.121,6.3,135,1.217,Профсоюзная,Академическая,1
2.558,2.674,166,1.568,Ховрино,Беломорская,1
1.681,1.919,170,1.614,Новомосковская (Коммунарка),Потапово,1
98.765,98.800,393,4.192,Нижегородская,Лефортово,1
95.519,95.520,262,2.68,Белокаменная,Бульвар Рокоссовского,1
10.175,10.72,191,1.859,Сретенский бульвар,Чкаловская,1
8.1,8.158,225,2.25,Авиамоторная,Шоссе Энтузиастов,1
9.43,9.87,142,1.296,Севастопольская,Нахимовский проспект,1
9.22,9.97,219,2.183,Бибирево,Отрадное,1
132.735,132.736,2183,24.888,Царицыно,Покровское,1
137.963,137.964,270,2.774,Крымская,ЗИЛ,1
3.174,3.65,483,5.237,Строгино,Крылатское,1
132.717,132.744,121,1.055,Волоколамская,Трикотажная,1
10.833,10.834,125,1.095,Физтех,Лианозово,1
135.840,135.841,134,1.208,Подрезково,Новоподрезково,1
135.868,135.869,193,1.884,Удельная,Быково,1
95.527,95.528,143,1.304,Новохохловская,Угрешская,1
95.517,95.518,190,1.847,Ботанический сад,Ростокино,1
10.113,10.63,193,1.88,Римская,Крестьянская застава,1
6.24,6.27,271,2.783,Ботанический сад,ВДНХ,1
3.100,3.5,141,1.279,Площадь Революции,Арбатская,1
10.177,10.184,171,1.631,Трубная,Достоевская,1
95.538,95.539,244,2.475,Шелепиха,Хорошево,1
3.182,3.183,186,1.8,Волоколамская,Митино,1
7.127,7.33,161,1.509,Рязанский проспект,Выхино,1
98.802,98.804,327,3.435,Электрозаводская,Авиамоторная,1
7.464,7.465,199,1.948,Лермонтовский проспект,Жулебино,1
10.185,10.546,232,2.336,Марьина Роща,Бутырская ,1
132.742,132.743,405,4.337,Силикатная,Подольск,1
2.133,2.30,189,1.843,Сокол,Войковская,1
10.39,10.52,155,1.444,Дубровка,Кожуховская,1
4.172,4.6,388,4.145,Деловой центр (Выставочная),Александровский сад,1
10.547,10.548,180,1.73,Фонвизинская,Петровско-Разумовская,1
135.837,135.838,259,2.646,Малино,Фирсановская,1
131.694,131.695,191,1.859,Лианозово,Бескудниково,1
6.129,6.24,165,1.559,Свиблово,Ботанический сад,1
97.813,97.814,179,1.717,Мичуринский проспект,Проспект Вернадского,1
97.603,97.806,422,4.526,Деловой центр,Народное Ополчение,1
12.171,12.466,150,1.39,Улица Старокачаловская,Лесопарковая,1
97.829,97.830,193,1.884,Печатники,Нагатинский Затон,1
2.42,2.45,222,2.222,Кантемировская,Каширская,1
135.857,135.858,99,0.799,Перово,Плющево,1
95.530,95.531,141,1.284,Автозаводская,ЗИЛ,1
6.21,6.41,187,1.818,Беляево,Калужская,1
3.65,3.84,184,1.783,Крылатское,Молодежная,1
1.143,1.61,91,0.7,Чистые пруды,Красные ворота,1
131.691,131.692,172,1.643,Долгопрудная,Новодачная,1
2.122,2.99,127,1.127,Тверская,Театральная,1
5.119,5.55,150,1.391,Проспект Мира,Комсомольская,1
135.839,135.840,239,2.42,Сходня,Подрезково,1
5.119,5.82,205,2.026,Проспект Мира,Новослободская,1
136.913,136.914,196,1.922,Санино,Крёкшино,1
3.131,3.47,145,1.333,Смоленская,Киевская,1
